State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
NJ,135,510,No,Yes,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,True
VA,115,415,No,No,0,132.0,90,22.44,197.5,75,16.79,175.8,114,7.91,0.0,0,0.0,3,False
HI,115,415,No,Yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,False
OR,92,415,No,No,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,False
CO,111,510,No,Yes,24,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14.0,4,3.78,1,False
VA,172,510,No,No,0,169.8,123,28.87,183.1,94,15.56,395.0,72,17.77,12.7,7,3.43,2,False
VT,193,408,No,Yes,17,124.0,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,False
VT,129,408,No,No,0,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,False
OH,84,408,No,No,0,159.5,125,27.12,247.1,90,21.0,187.9,82,8.46,7.2,4,1.94,2,False
NY,148,408,No,No,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,False
GA,120,408,No,No,0,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2,False
MT,10,510,No,No,0,183.0,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,False
VA,117,408,No,No,0,97.1,98,16.51,228.0,131,19.38,240.0,111,10.8,10.6,3,2.86,1,False
AR,127,415,Yes,No,0,143.2,60,24.34,179.5,159,15.26,171.8,122,7.73,6.2,4,1.67,4,True
SD,131,510,No,No,0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2,False
AR,74,510,No,No,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,False
RI,46,408,No,No,0,40.4,105,6.87,172.4,83,14.65,145.1,89,6.53,9.0,2,2.43,2,False
NV,113,510,No,No,0,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,3,True
MS,66,408,No,Yes,32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12.0,3,3.24,2,False
NH,111,510,No,No,0,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0,False
FL,108,510,No,No,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,False
IN,105,510,No,Yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,False
GA,189,408,No,No,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,False
OH,124,510,No,No,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,False
GA,143,408,No,Yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,False
WY,64,415,No,No,0,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1,False
FL,153,415,No,No,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,False
MS,13,415,No,No,0,303.2,133,51.54,170.5,86,14.49,227.6,80,10.24,11.5,3,3.11,0,True
MS,96,510,No,No,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,False
WY,139,415,No,No,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,False
FL,99,408,No,No,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,False
UT,100,408,No,No,0,185.0,122,31.45,182.5,92,15.51,274.9,92,12.37,5.1,8,1.38,1,False
TX,121,415,No,No,0,86.1,100,14.64,259.8,113,22.08,148.0,79,6.66,9.1,9,2.46,2,False
WV,141,415,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False
NC,109,510,Yes,No,0,209.1,141,35.55,205.0,93,17.43,119.4,111,5.37,7.8,3,2.11,2,False
WA,137,408,No,No,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,False
WI,85,415,No,No,0,102.0,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1,False
NV,121,408,No,Yes,44,116.0,85,19.72,150.1,120,12.76,246.8,98,11.11,12.0,2,3.24,1,False
AZ,90,415,No,No,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,False
AL,77,415,No,No,0,163.0,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,False
WA,90,415,Yes,No,0,148.2,96,25.19,220.4,111,18.73,134.2,97,6.04,9.2,1,2.48,4,True
TX,92,408,No,No,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False
CA,138,510,Yes,No,0,196.2,129,33.35,176.5,86,15.0,232.4,108,10.46,15.2,1,4.1,0,True
MI,140,415,No,No,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False
MD,42,408,No,No,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,False
AK,138,415,No,Yes,37,75.8,102,12.89,173.6,147,14.76,162.6,96,7.32,8.2,13,2.21,0,False
MD,51,510,No,Yes,28,276.7,121,47.04,203.7,99,17.31,246.2,88,11.08,8.3,3,2.24,0,False
RI,107,510,Yes,No,0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,False
VA,146,415,No,No,0,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,False
CA,120,415,No,No,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,13.8,3,3.73,1,False
SC,111,415,No,Yes,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1,False
TN,127,415,No,Yes,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,False
NV,113,415,No,Yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False
SC,138,510,No,Yes,21,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13,0,False
MD,106,415,No,No,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3,False
VA,43,408,No,Yes,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3,False
NE,91,510,No,Yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,False
VT,94,408,No,No,0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,False
MS,103,415,No,No,0,129.3,103,21.98,202.8,89,17.24,233.0,126,10.49,12.9,2,3.48,2,False
AZ,107,415,No,Yes,32,134.2,101,22.81,211.9,145,18.01,167.6,138,7.54,8.2,5,2.21,1,False
WI,162,408,No,No,0,177.1,131,30.11,114.7,122,9.75,153.6,88,6.91,6.5,6,1.76,3,False
OR,142,510,No,Yes,22,224.4,114,38.15,146.0,106,12.41,241.4,98,10.86,8.8,2,2.38,1,False
WI,111,415,No,Yes,36,166.2,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,3.02,3,False
CT,77,415,No,No,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,0,True
WV,70,415,No,No,0,214.8,87,36.52,131.0,114,11.14,216.9,104,9.76,9.4,3,2.54,3,False
KS,149,510,No,No,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,False
MD,154,510,No,No,0,154.5,122,26.27,214.2,71,18.21,178.0,105,8.01,12.0,2,3.24,3,True
PA,114,415,No,No,0,155.3,75,26.4,169.9,87,14.44,207.0,133,9.32,12.6,5,3.4,2,False
WA,141,415,No,No,0,151.5,104,25.76,242.2,114,20.59,304.2,109,13.69,10.8,2,2.92,1,False
SD,137,510,No,No,0,242.1,118,41.16,191.0,93,16.24,218.6,50,9.84,14.7,2,3.97,3,False
MO,101,415,No,Yes,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,False
OR,110,408,No,No,0,149.8,112,25.47,180.0,93,15.3,140.0,119,6.3,11.7,4,3.16,2,False
NV,27,510,No,No,0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3,False
WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True
AL,71,415,No,No,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,False
ND,153,415,No,Yes,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,False
OH,133,408,No,No,0,117.8,100,20.03,199.2,105,16.93,244.1,119,10.98,11.8,4,3.19,0,True
MO,161,510,No,No,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,False
NM,93,510,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False
WA,103,415,No,No,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,False
NV,42,415,No,No,0,303.9,106,51.66,232.2,54,19.74,147.1,76,6.62,5.8,3,1.57,1,True
GA,93,415,No,No,0,179.5,121,30.52,191.9,131,16.31,165.5,125,7.45,12.0,4,3.24,0,False
ID,103,415,No,No,0,70.9,134,12.05,134.5,112,11.43,168.8,164,7.6,12.0,6,3.24,2,False
WI,91,408,No,Yes,44,216.6,101,36.82,173.1,98,14.71,242.1,95,10.89,9.1,3,2.46,1,False
ND,101,415,No,Yes,28,105.9,132,18.0,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,False
FL,155,415,No,No,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,False
MS,145,510,Yes,Yes,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3.0,1,False
MA,128,415,No,No,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16.0,2,4.32,0,False
MA,51,415,No,No,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,False
MS,137,510,No,No,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,False
TN,123,415,No,Yes,34,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1,False
SC,112,415,No,Yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,False
KS,163,415,No,No,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,False
KS,86,408,No,Yes,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,False
MO,110,415,No,No,0,178.5,124,30.35,146.9,141,12.49,217.1,102,9.77,9.9,7,2.67,1,False
MS,68,415,No,Yes,34,160.0,72,27.2,184.5,119,15.68,208.3,101,9.37,6.1,10,1.65,1,False
OR,163,408,No,Yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,False
WA,55,415,No,No,0,194.1,121,33.0,176.6,110,15.01,302.8,136,13.63,7.0,7,1.89,2,False
NY,147,510,No,Yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,False
TX,106,510,No,No,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True
KY,124,415,No,No,0,194.0,103,32.98,241.0,116,20.49,227.5,153,10.24,11.9,5,3.21,0,False
AR,87,408,No,No,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1,False
MN,50,415,No,No,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False
IA,130,415,No,No,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,False
FL,116,415,No,Yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,False
NJ,100,415,No,No,0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0,False
SD,52,510,No,Yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,False
AR,109,415,No,Yes,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9.0,6,2.43,6,True
VT,97,415,No,No,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,False
MO,101,415,Yes,No,0,133.5,51,22.7,219.6,96,18.67,210.0,74,9.45,11.7,4,3.16,1,False
WY,90,510,No,No,0,125.4,158,21.32,269.1,83,22.87,238.6,103,10.74,11.0,7,2.97,1,False
LA,128,415,No,No,0,147.7,94,25.11,283.3,83,24.08,188.3,124,8.47,6.9,5,1.86,2,False
WY,68,510,No,No,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,False
AL,93,408,No,No,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,True
ID,47,415,No,Yes,28,172.9,109,29.39,137.6,94,11.7,203.8,109,9.17,8.3,6,2.24,1,False
UT,116,415,No,Yes,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,False
WA,47,415,No,Yes,27,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,False
NV,94,408,Yes,No,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,True
NC,73,415,No,Yes,31,194.4,104,33.05,176.0,84,14.96,230.1,110,10.35,11.5,3,3.11,0,False
SC,99,510,No,No,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,False
KS,164,510,No,Yes,30,238.8,100,40.6,230.0,121,19.55,206.3,66,9.28,13.2,8,3.56,1,False
OR,33,415,No,Yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,True
WI,80,415,No,No,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,False
NY,106,408,No,No,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,False
NE,63,415,No,No,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,False
TN,69,510,No,No,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,False
VT,72,415,No,Yes,21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,2,False
CT,74,510,No,No,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1,False
AL,41,510,No,Yes,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,False
TX,80,510,No,Yes,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0,False
CT,160,415,No,No,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,True
OK,44,408,No,No,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,True
ID,99,408,No,No,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,False
NV,137,415,Yes,No,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True
AL,146,415,No,Yes,32,154.0,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,False
NY,140,415,No,No,0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,False
NV,69,415,No,No,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,False
OK,125,415,No,Yes,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,False
MS,82,408,No,No,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,False
UT,48,510,No,Yes,43,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,False
MI,142,415,Yes,No,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1,False
NC,165,415,No,No,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,False
NC,89,408,No,No,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,False
NY,112,415,No,No,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4,True
PA,106,408,Yes,No,0,133.7,45,22.73,187.8,107,15.96,181.9,89,8.19,10.7,2,2.89,1,True
IA,98,510,No,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False
ID,135,510,No,No,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,False
RI,95,408,No,No,0,160.0,133,27.2,215.3,98,18.3,188.9,87,8.5,9.1,4,2.46,0,False
VA,132,510,No,No,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False
AZ,113,510,No,No,0,81.3,116,13.82,220.6,124,18.75,235.7,113,10.61,8.9,3,2.4,0,False
TX,159,415,No,No,0,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,False
MD,108,415,Yes,Yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,True
NY,46,415,No,No,0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1,False
TN,108,510,No,Yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,True
NE,159,415,No,No,0,189.1,105,32.15,246.1,147,20.92,242.0,106,10.89,10.4,5,2.81,1,True
OK,180,415,No,No,0,143.5,121,24.4,189.3,111,16.09,174.9,82,7.87,8.8,5,2.38,3,False
MA,122,408,No,Yes,29,195.4,83,33.22,268.2,93,22.8,168.0,95,7.56,8.4,6,2.27,3,False
VT,99,408,No,Yes,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,False
HI,106,415,No,No,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2,False
NC,130,408,Yes,No,0,216.2,106,36.75,363.7,86,30.91,126.7,123,5.7,16.9,2,4.56,5,True
DC,170,510,No,No,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2,False
SC,114,510,No,Yes,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,False
NY,168,408,No,No,0,163.4,134,27.78,240.1,87,20.41,164.0,147,7.38,11.6,2,3.13,2,True
WI,44,415,Yes,No,0,62.3,92,10.59,275.0,82,23.38,138.7,108,6.24,10.8,3,2.92,1,False
NE,34,415,No,No,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0,False
ME,78,415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False
SD,87,415,No,Yes,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2,False
MD,73,510,No,No,0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0,False
CT,99,408,No,No,0,95.4,105,16.22,207.2,101,17.61,136.0,117,6.12,5.6,5,1.51,1,False
WI,140,415,No,No,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,False
KS,67,510,No,No,0,129.0,78,21.93,188.0,116,15.98,235.0,102,10.58,11.2,3,3.02,2,False
IN,7,415,No,No,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,False
IL,149,408,No,No,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,False
NJ,113,415,No,No,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,False
NM,94,415,No,No,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,False
WI,73,415,No,No,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,False
NM,182,415,No,No,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,False
OH,123,408,No,No,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,False
UT,83,510,No,No,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1,False
DC,138,415,No,No,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,False
DC,108,510,No,No,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,False
TX,152,415,No,No,0,141.5,102,24.06,263.0,94,22.36,207.1,113,9.32,3.4,4,0.92,2,False
OK,172,408,No,No,0,203.9,109,34.66,234.0,123,19.89,160.7,65,7.23,17.8,4,4.81,4,False
OH,143,415,No,No,0,223.3,99,37.96,167.1,128,14.2,203.0,84,9.14,4.5,4,1.22,0,True
MT,111,408,No,No,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,False
KS,101,510,No,Yes,25,144.1,144,24.5,167.6,105,14.25,240.0,107,10.8,14.5,3,3.92,1,False
IA,120,415,No,Yes,33,299.5,83,50.92,163.4,84,13.89,146.7,88,6.6,11.6,5,3.13,0,False
KY,135,510,No,No,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1,False
NC,115,510,Yes,No,0,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3,True
OK,100,415,No,No,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,False
ND,75,408,No,Yes,24,225.5,119,38.34,182.0,108,15.47,270.9,106,12.19,9.4,2,2.54,3,False
WV,143,510,No,No,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,False
OR,157,510,No,Yes,30,194.3,107,33.03,243.2,108,20.67,322.2,114,14.5,7.1,5,1.92,1,False
IL,44,415,No,Yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0,False
MA,40,408,No,Yes,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,True
UT,170,415,No,No,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1,True
AL,16,415,No,No,0,161.9,100,27.52,230.1,138,19.56,148.8,78,6.7,10.2,11,2.75,3,False
WY,94,510,No,No,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,True
FL,55,510,No,Yes,45,130.5,114,22.19,208.4,94,17.71,141.6,114,6.37,11.0,5,2.97,4,True
MT,78,415,No,No,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,False
LA,114,415,No,No,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2,False
OH,78,408,No,No,0,193.4,99,32.88,116.9,88,9.94,243.3,109,10.95,9.3,4,2.51,2,False
WV,154,408,No,Yes,35,64.9,76,11.03,184.1,91,15.65,151.6,75,6.82,14.6,1,3.94,1,False
IA,66,510,No,No,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,False
DE,105,415,Yes,No,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,False
KY,111,415,No,No,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,False
CO,125,415,No,No,0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,False
SD,125,510,No,Yes,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,False
KY,115,510,No,No,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,False
IN,148,415,No,Yes,26,158.7,91,26.98,160.5,127,13.64,218.3,88,9.82,9.9,3,2.67,1,False
MI,55,415,No,Yes,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1,False
CT,120,408,Yes,No,0,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,2,True
OH,39,415,No,Yes,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,False
KY,155,510,No,No,0,184.6,102,31.38,196.0,117,16.66,226.5,122,10.19,7.8,1,2.11,1,False
WV,48,415,No,Yes,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,False
SC,101,415,No,No,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4,True
IL,89,415,Yes,Yes,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3.0,0,True
IL,91,415,No,No,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,False
DC,100,510,Yes,No,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0,False
CO,60,408,No,No,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,False
HI,190,408,No,No,0,150.9,86,25.65,268.6,129,22.83,179.9,73,8.1,14.7,1,3.97,1,False
